bronid,bron
MI0201.03451,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 3451 Olie palm-"
MI0201.05041,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 5041 Olie plantaardig gem"
MI0207,"Berekend obv andere voedingsstoffen mbv een formule: som van de vetzuren = totaal vet * vetzuurconversiefactor"
MI0218,"Berekend obv andere voedingsstoffen mbv een formule: vetzuren n-6 meervoudig onverzadigd cis = som afzonderlijke n-6 meervoudig onverzadigde vetzuren. Voor meer informatie zie Samenstelling vetzuurclusters op NEVO-website"
MI0219,"Berekend obv andere voedingsstoffen mbv een formule: vetzuren n-3 meervoudig onverzadigd cis = som afzonderlijke n-3 meervoudig onverzadigde vetzuren. Voor meer informatie zie Samenstelling vetzuurclusters op NEVO-website"
MI0232.00001,"Overname van vergelijkbaar product: 0001 Aardappelen rauw"
MI0232.00002,"Overname van vergelijkbaar product: 0002 Aardappelen nieuwe rauw"
MI0232.00003,"Overname van vergelijkbaar product: 0003 Aardappelen oude rauw"
MI0232.00004,"Overname van vergelijkbaar product: 0004 Pasta witte rauw"
MI0232.00005,"Overname van vergelijkbaar product: 0005 Rijst witte rauw"
MI0232.00007,"Overname van vergelijkbaar product: 0007 Andijvie rauw"
MI0232.00008,"Overname van vergelijkbaar product: 0008 Andijvie gekookt"
MI0232.00009,"Overname van vergelijkbaar product: 0009 Asperge witte rauw"
MI0232.00010,"Overname van vergelijkbaar product: 0010 Aubergine rauw"
MI0232.00014,"Overname van vergelijkbaar product: 0014 Kool bloem- rauw"
MI0232.00016,"Overname van vergelijkbaar product: 0016 Kool boeren- gekookt"
MI0232.00017,"Overname van vergelijkbaar product: 0017 Cantharel rauw"
MI0232.00019,"Overname van vergelijkbaar product: 0019 Champignon rauw"
MI0232.00020,"Overname van vergelijkbaar product: 0020 Champignon gekookt"
MI0232.00021,"Overname van vergelijkbaar product: 0021 Kool Chinese rauw"
MI0232.00027,"Overname van vergelijkbaar product: 0027 Komkommer z schil rauw"
MI0232.00029,"Overname van vergelijkbaar product: 0029 Koolraap gekookt"
MI0232.00031,"Overname van vergelijkbaar product: 0031 Paprika groene rauw"
MI0232.00033,"Overname van vergelijkbaar product: 0033 Rozijnen gedroogd"
MI0232.00037,"Overname van vergelijkbaar product: 0037 Prei gekookt"
MI0232.00038,"Overname van vergelijkbaar product: 0038 Raapstelen rauw"
MI0232.00040,"Overname van vergelijkbaar product: 0040 Rabarber rauw"
MI0232.00042,"Overname van vergelijkbaar product: 0042 Kool rode gekookt"
MI0232.00045,"Overname van vergelijkbaar product: 0045 Schorseneren rauw"
MI0232.00046,"Overname van vergelijkbaar product: 0046 Sla krop- rauw"
MI0232.00049,"Overname van vergelijkbaar product: 0049 Bonen snij- rauw"
MI0232.00050,"Overname van vergelijkbaar product: 0050 Bonen sperzie- rauw"
MI0232.00051,"Overname van vergelijkbaar product: 0051 Spinazie rauw"
MI0232.00052,"Overname van vergelijkbaar product: 0052 Spinazie gekookt"
MI0232.00054,"Overname van vergelijkbaar product: 0054 Kool spits- gekookt"
MI0232.00055,"Overname van vergelijkbaar product: 0055 Spruitjes gekookt"
MI0232.00057,"Overname van vergelijkbaar product: 0057 Mais suiker- gekookt"
MI0232.00060,"Overname van vergelijkbaar product: 0060 Tomaat gewoon rauw"
MI0232.00061,"Overname van vergelijkbaar product: 0061 Tomaat gewoon gekookt"
MI0232.00062,"Overname van vergelijkbaar product: 0062 Bonen tuin- rauw"
MI0232.00063,"Overname van vergelijkbaar product: 0063 Ui rauw"
MI0232.00064,"Overname van vergelijkbaar product: 0064 Ui gekookt"
MI0232.00067,"Overname van vergelijkbaar product: 0067 Witlof rauw"
MI0232.00069,"Overname van vergelijkbaar product: 0069 Kool witte rauw"
MI0232.00070,"Overname van vergelijkbaar product: 0070 Kool witte gekookt"
MI0232.00071R,"Receptuurberekening, voor meer informatie zie receptenoverzicht op de website"
MI0232.00072,"Overname van vergelijkbaar product: 0072 Wortel gekookt gem"
MI0232.00072R,"Receptuurberekening, voor meer informatie zie receptenoverzicht op de website"
MI0232.00073,"Overname van vergelijkbaar product: 0073 Kool zuur- rauw"
MI0232.00074,"Overname van vergelijkbaar product: 0074 Kool zuur- gekookt"
MI0232.00075R,"Receptuurberekening, voor meer informatie zie receptenoverzicht op de website"
MI0232.00078,"Overname van vergelijkbaar product: 0078 Meel gries-"
MI0232.00080,"Overname van vergelijkbaar product: 0080 Bloem rijste-"
MI0232.00083R,"Receptuurberekening, voor meer informatie zie receptenoverzicht op de website"
MI0232.00084R,"Receptuurberekening, voor meer informatie zie receptenoverzicht op de website"
MI0232.00085,"Overname van vergelijkbaar product: 0085 Eidooier kippen- rauw"
MI0232.00095,"Overname van vergelijkbaar product: 0095 Paardenvlees rauw"
MI0232.00108,"Overname van vergelijkbaar product: 0108 Kip m vel rauw"
MI0232.00110,"Overname van vergelijkbaar product: 0110 Konijn wild rauw"
MI0232.00111,"Overname van vergelijkbaar product: 0111 Mosselen gekookt"
MI0232.00112,"Overname van vergelijkbaar product: 0112 Paling rauw"
MI0232.00113,"Overname van vergelijkbaar product: 0113 Haring pan- rauw"
MI0232.00114,"Overname van vergelijkbaar product: 0114 Vis mager 0-5 g vet gem rauw"
MI0232.00114R,"Receptuurberekening, voor meer informatie zie receptenoverzicht op de website"
MI0232.00115,"Overname van vergelijkbaar product: 0115 Vis matig vet >2-10 g vet gem rauw"
MI0232.00116R,"Receptuurberekening, voor meer informatie zie receptenoverzicht op de website"
MI0232.00121R,"Receptuurberekening, voor meer informatie zie receptenoverzicht op de website"
MI0232.00122,"Overname van vergelijkbaar product: 0122 Chips gem"
MI0232.00122R,"Receptuurberekening, voor meer informatie zie receptenoverzicht op de website"
MI0232.00123,"Overname van vergelijkbaar product: 0123 Frites ongezouten bereid (NA)"
MI0232.00124,"Overname van vergelijkbaar product: 0124 Radijs rauw"
MI0232.00127R,"Receptuurberekening, voor meer informatie zie receptenoverzicht op de website"
MI0232.00128,"Overname van vergelijkbaar product: 0128 Peterselie vers"
MI0232.00130,"Overname van vergelijkbaar product: 0130 Asperge witte blik/glas"
MI0232.00131,"Overname van vergelijkbaar product: 0131 Augurk zuur"
MI0232.00132,"Overname van vergelijkbaar product: 0132 Augurk zoetzuur"
MI0232.00133,"Overname van vergelijkbaar product: 0133 Champignon blik/glas"
MI0232.00135,"Overname van vergelijkbaar product: 0135 Doperwten zeer fijn/extra fijn blik/glas"
MI0232.00136,"Overname van vergelijkbaar product: 0136 Doperwten m wortelen blik/glas"
MI0232.00138,"Overname van vergelijkbaar product: 0138 Bonen snij- blik/glas"
MI0232.00144,"Overname van vergelijkbaar product: 0144 Ui zilver- zoetzuur glas"
MI0232.00146,"Overname van vergelijkbaar product: 0146 Spinazie diepvries gekookt"
MI0232.00147,"Overname van vergelijkbaar product: 0147 Appel z schil gem"
MI0232.00147R,"Receptuurberekening, voor meer informatie zie receptenoverzicht op de website"
MI0232.00150,"Overname van vergelijkbaar product: 0150 Ananas"
MI0232.00151,"Overname van vergelijkbaar product: 0151 Banaan"
MI0232.00152,"Overname van vergelijkbaar product: 0152 Bessen blauwe"
MI0232.00153,"Overname van vergelijkbaar product: 0153 Bessen rode"
